symbol,sector,securityType,bidPrice,bidSize,askPrice,askSize,lastUpdated,lastSalePrice,lastSaleSize,lastSaleTime,volume
GSEVW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
KCGI+,n/a,n/a,0.0,0,0.2,300,1657805400000,0.1657,164,1657805405338,2828
EXLS,technologyservices,cs,127.6,100,150.32,168,1657809006722,139.185,100,1657808896032,2894
DWM,miscellaneous,et,34.4,100,46.39,100,1657806300101,0.0,0,0,0
ONTO,electronictechnology,cs,65.07,200,70.7,100,1657808966577,65.11,8,1657808966014,803
JOFFU,n/a,n/a,9.82,1000,0.0,0,1657807735575,0.0,0,0,0
HLAH,n/a,n/a,9.81,600,11.84,100,1657805403846,0.0,0,0,0
FORM,electronictechnology,cs,32.31,101,37.63,100,1657809005228,35.04,5,1657808984584,886
APTV-A,producermanufacturing,ps,93.84,100,112.63,100,1657809002133,0.0,0,0,0
BEPH,n/a,n/a,16.05,100,18.95,100,1657806727988,17.55,6,1657808395480,6
PV=,n/a,n/a,9.88,1000,0.0,0,1657806308530,0.0,0,0,0
NSPY,n/a,n/a,27.37,100,32.18,100,1657808074472,0.0,0,0,0
PGRWW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
CRKN,n/a,n/a,0.848,100,1.4,100,1657805729594,0.0,0,0,0
CIF,miscellaneous,cef,1.75,100,2.07,100,1657807548269,0.0,0,0,0
SPXT,miscellaneous,et,59.42,100,70.02,100,1657806330989,0.0,0,0,0
MNOV,healthtechnology,cs,2.22,100,2.62,100,1657807832638,2.42,100,1657805556663,100
OXUSU,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
NRZ,finance,cs,9.39,400,9.4,200,1657809005319,9.385,2,1657808962637,9930
TCBS,n/a,n/a,12.76,100,19.8,100,1657805400768,0.0,0,0,0
TDW+A,industrialservices,wt,0.0,0,0.0,0,1657805400000,0.0,0,0,0
RXRAU,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
ECON,miscellaneous,et,19.22,100,22.59,100,1657806605017,0.0,0,0,0
POWRW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
FLTN,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
GWH,n/a,n/a,2.69,100,2.7,100,1657809002832,2.695,100,1657808968708,1023
DK,energyminerals,cs,19.33,100,21.27,100,1657809003930,21.335,100,1657808956446,18213
ZVZZT,n/a,n/a,10.02,4120,0.0,0,1657808721553,10.03,51,1657808720013,2429
HYMCZ,non-energyminerals,wt,0.0,0,0.0,0,1657805400000,0.0,0,0,0
XJR,n/a,n/a,29.21,100,34.35,100,1657806305769,0.0,0,0,0
EDOG,miscellaneous,et,17.09,100,20.36,100,1657808502657,0.0,0,0,0
HT-E,finance,ps,16.58,100,23.27,100,1657808699268,0.0,0,0,0
