symbol,price,size,time
OPCH,29.315,100,1657828797947
EHAB#,23.0,100,1656619166420
CDTX,0.7501,25,1657827784846
TBLAW,0.3101,100,1657736595069
CAPAW,2.89,100,1623353895143
QTJL,19.98,15,1657811212850
MBSC,9.99,100,1657805453719
EGGF,9.75,500,1657742370557
MJUS,2.64,5,1657824157188
THCP,9.78,10,1657723609686
GLOG-A,24.61,196,1657828619494
POWL,22.1,13,1657828795257
AMR,122.5,200,1657828796883
KXIN,1.01,1000,1657737212992
AMX,18.42,100,1657828793566
CVRS,4.27,5000,1572292777009
PGEN,1.69,44,1657828792744
BABA,103.79,50,1657829289871
HYGS,15.0,100,1567797112687
VOSOU,15.41,130,1637268223005
BSKY,9.77,100,1657825400748
EDBI,28.12,31,1552069817370
IACA,10.54,4,1624996799080
DIVA,26.87,100,1654888773968
NCZ-A,23.25,100,1657308930857
PGAL,10.3,66,1657310387080
EUSB,44.19,100,1657731597064
SIJ,20.99,100,1657817334870
MLNK,17.47,100,1657828766521
AMH-E,25.0,41,1624648436600
LCAAU,9.9,100,1649783351205
OMAD,9.9,700,1559327879728
SWZ,7.48,100,1657828354472
FCNCA,658.005,4,1657828796324
CLDT,10.98,12,1657828792063
PWUPU,10.12,100,1656336606621
LOTZW,0.14,100,1654528630450
WPF=,10.72,100,1625255888720
ONTXW,0.1,100,1626795127051
OSMT,1.105,400,1642528328788
JFWD,8.97,500,1657726456584
URG,1.03,2,1657828792240
KMT,22.73,100,1657828799536
SCAP,24.29,40,1585834696279
AVCT,0.29,174,1657829528496
SRVR,33.69,7,1657828772061
GBBKR,0.085,4,1657569570368
ECL,153.73,53,1657828795679
CSTA=,9.87,100,1657557296305
PSA-H,25.55,100,1657821130966
FTOCW,2.73,100,1624651178235
DFEM,22.55,100,1657828796742
CRR,0.2877,100,1576874977437
CBT,63.36,161,1657828790134
WFC-T,25.01,100,1607443451905
HTAB,19.51,37,1657566986597
PHAS,0.9301,1,1657828701551
APN,10.23,500,1654522201025
ALACR,0.0304,100,1650916372273
F-C,24.65,100,1657828696956
CLBR+,0.1013,100,1657305035320
ZYNE,1.12,4,1657828659225
SCE-L,19.0,100,1657652562649
LE,11.7,3,1657828793969
NOW,420.91,25,1657828798605
HSBC,30.365,30,1657828796263
RACA,10.15,100,1625075240410
EQWM,49.07,8,1557414350453
ASIX,32.8,100,1657828799728
SMTC,53.8,20,1657828797444
FCOR,46.42,1,1657805460480
DRW,22.87,1,1650311997106
ZNGA,8.21,2500,1653076814319
BJ,70.16,90,1657828798018
OGEN,0.3467,2,1657653650854
PRM,9.9,23,1657828797469
IMVTW,6.67,100,1591809881648
EVOJU,9.845,15,1657046978969
BFS-D,22.77,1,1657806581605
FMAT,40.28,100,1657728991919
CTK,0.88,100,1652971668770
DNOV,32.31,100,1657813554558
MPRA,9.98,100,1657828776795
IQSI,23.27,7,1657569576077
MYI,11.98,50,1657828795340
BBLG,1.22,100,1657549111754
SRET,7.96,100,1657827357412
FND,72.42,4,1657828798105
DBAP,26.86,100,1550085814661
AGNCB,25.21,20,1574456395246
PACWP,25.83,100,1657816868856
AVGR,1.46,4,1657730925199
ATC,21.09,65,1657828794116
ETAC,9.995,10,1657291237909
QBAK,1.99,100,1588190148268
ENR,27.985,20,1657828796186
HIGA+,0.0895,400,1656532784933
FFIC,20.72,1,1657828795732
BGH,12.8,300,1657828766953
SNR,8.815,486,1632167992147
DIAL,17.755,60,1657827625729
CNTB,0.91,100,1657828612700
BRBR,23.045,142,1657828788199
HHLA,9.82,33,1656692271689
TDY,372.95,9,1657828798487
SJIJ,18.27,100,1657723994844
FOUNW,0.3,500,1657824656583
ORCC,12.34,46,1657829382581
CBU,61.875,26,1657828798527
AI-B,17.52,10,1593702591836
GSUM,1.94,430,1616680525306
CHAQ,8.5,700,1630612570864
VDE,93.84,49,1657828791579
SCIN,13.72,100,1559754989644
ETJ,8.53,300,1657808536681
ZIOP,0.8707,100,1643230791408
LVO,1.2,7,1657828360675
AKA,2.64,14,1657828635930
DECAU,9.98,1000,1656336631274
GDI,32.78,100,1582923598603
SCHF,29.86,5,1657829600120
IGIH,19.78,2,1585943233284
FORE,9.25,30,1638390985393
COLB,28.45,60,1657828796048
XENE,31.98,6,1657828798061
CHX#,12.18,100,1591384547535
SHYF,20.4,20,1657828795418
HDAW,21.08,100,1657029613764
EPZM,1.48,61,1657828796369
CPUH=,9.84,1000,1657719628525
PAB,42.84,4,1655216986932
PRAN,2.09,300,1554492889927
NAUT,2.75,3,1657828795280
FTHY,14.91,48,1657828798060
KYN-F,25.1,100,1571853108747
LPLA,169.51,1,1657829095697
HYMCW,0.19,100,1657306800347
DRI,116.15,68,1657828799026
ERYP,1.03,68,1657742360348
UZA,25.35,50,1630336494360
IDLB,24.33,100,1655129022794
STLG,36.98,3,1627934317343
CPTNW,0.1371,200,1657546273086
ACACW,1.72,100,1624036666890
POWI,73.95,30,1657828798494
KEJI,14.95,3,1656522581801
VPCC=,10.2,100,1640623962680
XKCP,38.06,100,1561145268835
SHEN,20.97,10,1657828795115
CAPR,4.83,33,1657828794568
MS-E,25.81,100,1657823999083
FGBI,23.47,3,1657828792623
APMIU,9.88,100,1651240203871
BCTX,5.98,193,1657828798002
COTY,7.29,20,1657828873487
WPC,81.35,3,1657828798003
CBTX,26.87,5,1657828798628
GPM,9.885,300,1634932751357
YGYIP,10.25,100,1605632472697
YINN,76.64,1,1657827457857
NRBO,0.57,86,1657655980041
TCN,10.225,21,1657828799605
CRM,161.02,100,1657828798761
SVSVW,2.33,200,1651521428761
BRACW,0.25,164,1565380084783
HQCL,9.835,100,1547657532310
TRNE+,6.96,100,1607547516025
CYTH,2.37,100,1657639040033
FFWM,18.39,17,1657828794251
SOBR,0.91,100,1657828223814
DTQ,25.17,325,1603137461716
FITBI,25.38,100,1657828561708
FIAC,9.95,100,1657569571258
HCCC,12.74,3,1646686637153
VRT,8.43,31,1657828794982
GEF.B,61.89,10,1657828703163
IWFH,22.195,4,1641227722682
DHR,247.99,65,1657828797831
ATAQ,9.81,224,1657306505869
BXE,0.5047,100,1549573118624
JPGE,55.58,100,1592596731645
OPES,15.39,97,1608152270904
LX,2.105,10,1657828775773
NEBUU,22.05,1,1591725808296
SDI,14.45,100,1594756139790
APR,37.495,3,1648497515953
PCG-D,17.9,100,1657811329179
FNDA,44.56,24,1657828786812
LMFA,0.848,100,1657818775833
AMRC,43.62,55,1657828793680
SHACW,0.08,100,1657298279773
CWC,26.5,1,1648562648619
GGPIW,2.52,100,1656014390831
BARK,1.34,100,1657828777771
ASXC,0.4619,100,1657828671263
NULC,31.52,100,1657823292436
DFIV,27.16,6,1657828790505
LEVI,17.08,35,1657829687273
UMBF,84.65,2,1657828796483
HTGX*,25.03,100,1548357612657
VELOW,0.1045,100,1657633863826
SDG,78.94,10,1657827193073
CTRN,20.54,4,1657828795039
JOUT,62.6,10,1657828795481
FTNW,1.45,90,1576094628880
CHWAW,0.19,12,1657828091556
SF-B,25.05,100,1657635999327
UNIT,9.12,90,1657828796952
APOG,37.41,7,1657828798137
FLEU,122.79,18,1606159567500
FNTC,11.91,5,1657741524600
HSII,29.49,3,1657828729849
TPC,8.65,44,1657828798076
PWSC,13.25,18,1657828798063
HUSA,3.735,100,1657828785726
DWT,14.75,468,1585857427885
OFSSH,23.0,100,1655908894237
IDHD,23.12,19,1657825308556
BSJO,21.915,100,1657819578710
GTPBW,0.3768,200,1657719001311
SPOK,6.38,300,1657828795103
THNQ,26.39,100,1657811417775
MTAL+,0.4,16,1657655575787
HVBT,3.06,300,1631563186154
LTRX,4.98,6,1657828573794
HPX+,0.2601,400,1657824965482
IBMI,25.47,26,1598901999930
HEWI,15.85,15,1597683831527
FXLV,3.5,4,1657828798079
OUSM,32.18,239,1657310385988
GSV,0.2915,35,1657824203539
EAI,24.13,100,1657820364310
JHS,11.47,100,1657742387727
PPYA,9.95,100,1655228399249
AUO,2.465,700,1569873568751
BOWXW,2.26,100,1634757958312
MORT,13.7,1,1657815932348
KURE,23.13,20,1657822825580
SHM,47.52,1,1657828794242
KOCG,19.68,100,1657814437523
DAR,55.75,1,1657829002591
BSJT,20.4,100,1657567979406
ICR-A,18.79,1,1657740735691
SJIU,41.07,100,1618430132946
PTA,18.82,100,1657828579403
MSMR,22.28,20,1656612252979
AQUA,32.945,1,1657828797346
BRG-A,25.265,100,1611604685326
SYTAW,0.1599,100,1657565432419
HBP,10.7,65,1651521593891
ECOW,22.45,100,1653678693523
VTRS,9.86,100,1657828788086
MITT-C,19.18,50,1657825925091
AROW,30.52,1,1657828785540
ENVA,29.025,2,1657828799771
EHIC,12.2,100,1554839994835
FPEI,17.765,100,1657822608918
VWEWW,1.39,200,1657292379741
DBRG,4.93,1,1657828796448
MVV,44.42,100,1657732449419
FDEC,30.47,100,1657821719077
SGOL,16.39,164,1657828172131
SCCB,24.86,95,1657049827073
CHIU,16.97,100,1657044657816
BHR,4.605,10,1657828767900
EDNT,1.8,351,1605127236717
ENERR,0.12,100,1657723232295
MACK,5.8,1,1657821518913
PRF,146.56,100,1657828786010
BFLY,3.7,300,1657828799836
LMB,5.46,100,1657807892379
FPI-B,24.79,100,1633108667445
KEP,8.165,54,1657828790434
MRCY,62.83,164,1657828799664
BSET,22.72,2,1657828795804
ASND,85.62,31,1657828797092
KBND,32.135,4,1657825933340
PROC,8.52,64,1657807569356
CIM,8.94,88,1657828796582
IRNT+,0.36,100,1657737770182
BWAY,5.39,100,1657720990815
SBII+,0.1,400,1657654476645
SDT,0.1633,100,1574096180998
SMIHU,9.74,30,1655218755348
OFG-A,25.12,100,1618839791322
ECCA,25.93,100,1574869637649
IBHI,21.91,44,1657126866416
WFHY,44.835,38,1657742386696
BCAN,4.75,100,1655997559994
LSPD,18.26,47,1657828796402
FSKR,21.57,3,1623873596156
EJFA,5.91,41,1655927988941
CPE,35.01,2,1657830527294
SSSS,6.38,400,1657828773891
ASTLW,1.77,100,1657828487875
NYMTL,20.04,100,1657653583491
EE,19.34,200,1657828794930
LAXXR,0.315,300,1649860237227
APTO,0.8599,100,1657828410658
AFGE*,25.34,100,1576681841895
VIGL,4.5,100,1657828782428
SCDL,30.745,3,1656606050049
EXPC,8.68,100,1620417403986
KFRC,61.72,10,1657828795154
YY,24.81,100,1657828797996
AXS,51.98,199,1657828795915
OBE,6.68,5,1657828794553
REFA,23.14,100,1567522084751
UAMY,0.3969,4,1657828796096
JAZZ,155.18,19,1657828795178
EXCVV,41.0,100,1643317078466
BXG,9.34,300,1620244232746
OPOF,24.76,100,1657635023123
CRY,17.895,5,1642798793899
EXPCU,9.84,100,1620394618015
HGBL,1.58,100,1657819830426
IONM,1.55,100,1657811122487
RYB,0.6912,100,1653335445453
POWRU,9.88,100,1657825602461
UA,7.26,101,1657828795132
CLFD,73.97,3,1657828797789
ARCM,99.32,2,1655921844684
FII,36.18,111,1580504395188
MIND,0.77,100,1657827006764
TFLT,23.72,1,1631714525576
CIICW,8.8,100,1616608974022
SSTK,56.945,100,1657828792207
VIIAW,0.06,400,1657806224285
SCA,25.21,100,1610044352459
WAFDP,19.74,100,1657828354049
PW-A,24.96,100,1656094083331
